Project: metvar
Soft: FS
System: M band

# Name                  ra              dec               v_sys          min    max   cycles     fs_script_name  
G78P10  	        20h14m26.044s    41d13m33.39s  	    -6.1         15     28    20         mc78p10 	
G78P969   	        20h30m22.77s     40d09m23.2s 	    4.5          15     28    20         mc78p969 
G82P308   	        20h40m16.72s     42d56m28.6s 	    10.0         15     28    20         mc82p308 
G84P951   	        20h55m32.50s     44d06m10.2s 	   -36.5         15     28    20         mc84p951 
G85P40  	        20h54m13.71s     44d54m07.85s  	   -29.5         15     28    20         mc85p40 	
G97P572   	        21h32m11.18s     55d53m32.0s 	   -71.0         15     28    20         mc97p572 
NGC7538  	        23h13m45.36s     61d28m10.55s  	   -57.0         15     28    20         mcng7538 
CEPA  	                22h56m17.9s      62d01m49.6s 	   -3.0          15     28    20         mccepa 	
G110P196                22h57m32.88s     62d29m51.9s 	   -57.0         15     28    20         mc110p19 
G121P28                 00h36m47.35s     63d29m02.2s 	   -22.4          1      3    20         mc121p28 
G124P015                01h00m55.42s     62d49m29.5s 	   -40.5         15     28    20         mc124p01 
G137P068                02h58m14.91s     62d20m42.8s 	   -59.0         15     28    20         mc137p06 
G149P076                04h01m36.49s     53d19m41.4s 	   -38.5         15     28    20         mc149p07 
S231  	                05h39m13.059s    35d45m51.29s 	   -14.0         15     28    20         mcs231 	
G174P201                05h30m48.015s    33d47m54.61s 	    1.48         15     28    20         mc174p20 
G183P34  	        05h51m11.00s     25d46m17.00s 	    -4.8         15     28    20         mc183p34 
G189P03  	        06h08m41.00s     21d31m07.00s 	    9.2          15     28    20         mc189p03 
G208P99  	        05h35m15.00s    -05d22m45.0s	    7.3          15     28    20         mc208p99 
G232P6  	        07h32m09.79s    -16d58m13.1s	    23.0         15     28    20         mc232p62 
#Monitoring                                                              	                 
G21P023   	        18h29m41.55s    -10d36m42.3s 	    31.1         30     45    20         mc21p023 
G23P885   	        18h34m36.84s    -08d01m00.7s 	    45.0         30     45    20         mc23p885 
G24P461   	        18h35m11.33s    -07d26m31.1s 	    125.5        30     45    20         mc24p461 
G25P407   	        18h38m15.52s    -06d46m16.7s 	    60.8         30     45    20         mc25p407 
G26P422   	        18h33m30.51s    -05d01m02.0s 	    31.0         30     45    20         mc26p422 
G26P545   	        18h38m14.46s    -05d29m16.8s 	    82.5         30     45    20         mc26p545 
G27P78   	        18h42m56.96s    -04d41m59.0s 	    98.18        30     45    20         mc27p78 	
G28P39   	        18h42m51.98s    -03d59m53.60s  	    68.20        30     45    20         mc28p39 	
G29P32   	        18h45m25.16s    -03d17m16.90s  	    48.84        30     45    20         mc29p32 	
G29P955   	        18h46m03.74s    -02d39m22.2s 	    95.7         30     45    20         mc29p955 
G30P198   	        18h47m03.04s    -02d30m36.4s 	    108.0        30     45    20         mc30p198 
G30P771   	        18h50m21.55s    -02d17m24.0s 	    74.4         30     45    20         mc30p771 
G33P74   	        18h53m18.78s     00d39m05.00s  	    54.15        30     45    20         mc33p74 	
G33P85   	        18h53m03.09s     00d49m36.50s  	    63.93        30     45    20         mc33p85 	
G37P600  	        18h58m26.82s     04d20m51.8s 	    91.2         30     45    20         mc37p600 
G38P08   	        19h01m44.15s     04d30m37.4s 	    67.50        30     45    20         mc38p08 	
G41P123  	        19h07m14.856s    07d11m00.69s  	    63.39        30     45    20         mc41p123 
G41P226  	        19h07m21.378s    07d17m08.17s  	    55.37        30     45    20         mc41p226 
G42P698  	        19h09m55.069s    08d36m53.45s  	    -42.86       30     45    20         mc42p698 
G45P87   	        19h16m31.08s     11d16m12.00s  	    60.00        30     45    20         mc45p87 	
G51P818   	        19h22m17.95s     17d20m06.5s 	    46.5         30     45    20         mc51p818 
G52P922   	        19h27m34.96s     17d54m38.14s  	    39.08        30     45    20         mc52p922 
G56P96   	        19h38m17.10s     21d08m05.40s  	    30.00        30     45    20         mc56p96 	
G57P610   	        19h38m40.74s     21d49m32.7s 	    38.9         30     45    20         mc57p610 
